"cell_type","MALAT1","RPL13","RPS2","RPL10","RPL13A","RPS6","RPS18","RPS27","RPL32","RPS14","B2M","RPL3","RPS19","RPS12","RPS4X","RPS3","TMSB4X","RPLP2","RPL11","RPL21","RPL18A","RPL19","RPLP1","RPS3A","RPL34","RPS15","RPS15A","RPS27A","RPL31","RPL28","RPL23A","TMSB10","RPL12","RPL15","RPL18","RPL27A","RPS8","RPL7","RPS23","RPS25","RPL26","RPL10A","RPS9","RPS16","RPL6","RPL9","RPS5","RPL35A","RPL29","RPL8","RPS13","RPS7","RPL14","RPL36","RPL30","RPS28","HLA-B","EEF1A1","RPL35","TPT1","RPL5","ACTB","MT-CO1","FAU","GNB2L1","RPL7A","RPSA","RPS20","RPL4","UBA52","HLA-A","FTL","MT-CO3","RPL37A","RPL27","RPLP0","PTMA","HLA-C","EEF1D","RPS26","RPL37","MT-CO2","NACA","RPS24","PFN1","RPL24","EIF1","JUNB","RPS11","RPS10","MT-ND4","MT-CYB","RPS29","FTH1","EEF1B2","RPS21","RPL36A","COX4I1","RPL38","LTB","CD52","ARHGDIB","MT-ND2","PFDN5","RPL17","MT-ND1","GLTSCR2","CFL1","BTG1","RPL22","BTF3","SERF2","NPM1","SH3BGRL3","RPL23","HNRNPA1","PABPC1","LDHB","RPL41","RPL36AL","ACTG1","CD3D","SLC25A6","H3F3B","IL32","UBC","CCL5","MYL12A","HLA-E","UBB","CORO1A","EEF2","TOMM7","CD3E","CYBA","DDX5","PTPRCAP","FXYD5","TMEM66","IER2","S100A4","ATP5L","OAZ1","HCST","JUN","EIF3K","ATP5G2","S100A6","CD8B","COX7C","ATP5E","GAPDH","TMA7","NOSIP","MT-ATP6","COMMD6","ITM2B","MYL6","YBX1","HINT1","SNRPD2","VIM","CD7","LIMD2","EDF1","DUSP1","GMFG","PPDPF","GPSM3","SRP14","GYPC","CIRBP","C6orf48","IFITM2","PSME1","CALM1","EIF3H","SRSF5","CD37","HSPA8","RAC2","AES","SSR2","EIF3F","CHCHD2","OST4","GIMAP7","ARPC3","ARPC1B","NKG7","PPIA","EIF4A2","ARPC2","C19orf43","UQCR11","S100A10","UXT","EVL","EIF3L","TXNIP","MZT2B","ATP5D","ZFAS1","EMP3","SSR4","HNRNPA2B1","EIF3E","HSP90AA1","APRT","FOS","CD48","TSC22D3","CD27","CTSW","VAMP2","NDUFA4","PNRC1","HNRNPDL","UQCRH","GNLY","COX6B1","ZFP36","MT-ND5","MYL12B","EIF3G","UBXN1","HIGD2A","RGS10","ATP5O","ERP29","CNBP","ISG20","ATP6V1G1","ALDOA","LAPTM5","NAP1L1","COX6C","ANAPC16","LCK","SOD1","RPSAP58","LSP1","GZMM","CAPZB","C19orf53","EIF4A1","NDUFB11","CUTA","HMGN1","RARRES3","ZFP36L2","HMGB1","LY6E","SMDT1","PSMA7","S100B","TRAF3IP3","C11orf31","ARL6IP4","MIF","NDUFS5","C12orf57","CXCR4","TCEB2","ST13","PCBP2","NFKBIA","CCNI","GUK1","NBEAL1","GPX4","ENO1","CCDC85B","HSP90AB1","ACAP1","NEDD8","RBM3","IFITM1","SERP1","UBE2D2","TAGLN2","IL2RG","C9orf16","COX5B","SAP18","LAMTOR4","UBL5","PSME2","SKP1","RP11-291B21.2","SNHG8","ISCU","UBE2D3","NDUFA11","HNRNPA0","FBL","DRAP1","GTF3A","ID2","SF3B5","PRR13","ATP6V0E1","CD8A","KLF2","TSTD1","TPI1","NDUFB9","CCND3","VAMP8","CD99","SUMO2","NDUFB8","ICAM3","ANP32B","SELL","SLC25A3","CD74","COX6A1","TRMT112","IL7R","COX7A2","HSPB1","TBC1D10C","NDUFA13","PARK7","JTB","UCP2","SEPT1","PCBP1","COTL1","CALM3","ATPIF1","LAT","SLC25A5","POLR2L","ATP5A1","CLIC1","CALM2","RPL39","PRDX2","PEBP1","SEPT7","DUSP2","CD53","EIF3D","RSL1D1","GSTK1","SRSF3","C9orf142","PPP1CA","TPM3","NDFIP1","NDUFA1","LSM7","UFC1","COX7A2L","SPCS1","NDUFB2","CIB1","ALKBH7","HNRNPK","LEPROTL1","SNHG7","NUCB2","TMEM258","MZT2A","PIK3IP1","MORF4L1","ARPC5","FLT3LG","RAN","PNISR","COPE","C4orf3","TRAPPC1","C19orf60","RABAC1","TBCA","OCIAD2","CD3G","CNN2","FKBP8","TSPO","ATP5H","SCAND1","SRSF7","BRK1","WDR83OS","TMBIM6","PRMT2","PSMB1","YWHAB","UQCRQ","PRKCQ-AS1","GPX1","ATP6V1F","PGK1","KRT10","STK17A","PRDX6","POLD4","GSTP1","EIF3M","LITAF","UQCR10","PPA1","HNRNPC","PTPRC","ATP5J","SON","PSMB9","C11orf58","CSTB","MRPS21","LDHA","BIN2","PPIB","ATP5J2","NHP2L1","ITGB2","SNRPB","BIN1","LSM4","PPP1R15A","COX8A","ATP5F1","PTGES3","BTG2","RHOA","SEPW1","KRTCAP2","PRELID1","C1QBP","SEC62","RWDD1","CD2","CCR7","PSMB8","COX5A","MYEOV2","GADD45GIP1","AIF1","C9orf78","DNAJB1","LEF1","NHP2","ATP5G3","CD44","MPHOSPH8","NDUFB10","FYB","FIS1","TUBA1B","LBH","TUBA1A","SYF2","GZMA","CRIP1","DDT","SUN2","GLRX","HNRNPM","HLA-F","PKM","SEPT9","TMEM59","TMEM230","CHCHD10","CAP1","ECH1","PRDX5","CD69","ERGIC3","SSU72","EID1","SERBP1","GZMK","DAD1","CMPK1","RNASET2","PAIP2","ATP5B","CST7","H2AFZ","PSMC5","CCDC109B","PA2G4","RASGRP2","MINOS1","RPS19BP1","C19orf70","TMEM123","TUFM","MT-ND3","AURKAIP1","U2AF1","VPS28","DDIT4","MRPL23","RBM39"
"cytotoxic",15,16,19,14,15,7,9,16,11,10,4,11,15,11,9,14,2,7,6,5,10,8,6,6,8,6,7,12,4,6,10,2,5,4,3,3,2,5,7,6,7,8,5,1,8,3,2,7,5,4,5,7,9,7,7,7,4,5,5,2,8,0,2,3,2,4,1,5,3,2,3,2,1,0,2,2,0,2,2,1,1,3,3,3,1,4,1,1,1,1,1,3,2,1,2,3,2,0,2,1,0,2,4,3,0,4,2,1,1,2,2,2,0,0,0,1,1,1,3,0,1,0,2,0,0,1,1,0,1,1,0,1,2,1,0,0,0,1,0,2,0,2,0,1,1,1,0,1,1,0,1,2,1,0,0,0,2,2,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"cytotoxic",69,38,35,31,31,24,30,29,27,28,8,25,30,15,25,28,14,16,18,24,16,27,16,21,20,16,16,17,13,14,20,10,19,8,14,10,14,13,15,16,11,13,12,12,9,11,15,18,4,15,12,9,6,11,11,12,7,12,6,15,8,5,5,11,8,10,7,15,10,3,6,2,2,3,6,9,8,3,2,10,5,1,3,9,2,2,4,0,5,3,3,3,8,2,2,2,7,3,8,2,2,4,6,4,4,7,3,3,1,6,4,1,3,0,3,1,3,3,4,3,0,2,3,0,3,3,0,1,1,4,5,5,2,1,1,5,0,1,0,0,1,0,0,2,0,1,0,1,0,1,1,1,0,0,0,1,2,2,0,1,1,1,1,3,2,1,2,1,0,1,3,1,1,0,0,1,0,1,0,1,0,3,2,1,1,2,0,1,0,1,0,0,0,1,0,1,0,0,2,4,1,0,0,1,0,0,1,2,1,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,1,2,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"cytotoxic",55,33,26,22,16,23,30,26,15,13,19,18,19,15,14,17,22,14,19,12,15,15,8,8,5,15,5,13,9,13,18,15,4,13,16,11,9,2,7,10,11,9,9,10,11,3,8,8,8,6,3,13,6,5,5,12,10,6,9,8,5,5,4,7,4,10,8,3,6,4,9,9,5,2,2,2,3,7,5,3,8,2,2,6,3,4,2,2,4,3,3,2,4,5,0,3,3,5,6,4,7,2,1,3,0,7,6,3,1,0,2,2,2,4,2,2,0,2,2,1,2,1,0,2,0,2,2,1,0,0,1,1,0,0,3,2,0,2,2,1,0,0,0,5,0,2,2,1,1,2,2,1,2,0,2,1,3,2,1,1,4,2,1,3,0,0,0,5,1,1,2,0,0,0,4,1,1,1,0,2,0,0,1,1,2,0,3,0,0,0,0,4,1,0,2,2,0,0,1,0,1,0,0,0,2,0,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,1,1,2,1,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
"cytotoxic",52,33,25,31,29,24,21,16,16,20,13,18,14,16,15,11,18,20,26,15,17,24,15,6,7,14,7,5,13,9,16,11,12,17,12,14,10,1,11,7,8,6,10,12,9,7,5,8,12,8,14,11,9,7,9,10,9,7,4,6,6,4,9,5,9,5,4,7,5,5,5,3,6,6,7,2,5,3,3,1,7,1,1,3,3,4,6,4,5,5,0,1,6,4,3,5,4,7,2,4,3,2,2,2,3,5,2,4,0,2,1,3,4,0,1,1,3,3,1,5,0,2,0,3,4,1,0,2,3,2,1,1,3,0,0,1,3,1,3,2,0,2,3,1,0,1,0,0,1,2,3,3,2,2,0,1,1,0,0,1,1,0,1,0,1,1,4,1,1,1,1,0,1,1,3,1,1,1,1,1,0,2,1,1,1,1,1,0,1,0,0,4,1,2,4,0,1,1,1,3,1,0,0,1,0,1,0,0,1,0,1,1,1,1,2,0,3,0,2,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,3,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2,2,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,3,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,2,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"cytotoxic",44,24,12,13,13,10,19,13,10,6,20,13,14,10,4,11,18,13,10,9,11,8,3,8,3,16,9,9,8,3,5,8,5,9,7,10,4,3,5,6,5,9,10,5,4,6,9,5,5,1,2,7,3,7,5,5,7,1,8,3,0,8,4,6,1,4,2,3,3,3,2,8,0,4,1,2,4,13,3,4,0,3,5,1,5,1,5,0,2,1,1,1,4,2,0,7,4,4,3,0,1,1,0,2,2,3,1,1,8,0,0,3,0,2,1,1,1,0,3,2,2,1,1,3,3,3,13,2,1,4,2,0,0,0,1,1,0,1,2,0,1,1,1,2,4,0,1,0,0,3,2,0,2,0,1,0,3,0,1,0,0,2,0,1,0,3,1,1,0,1,2,0,0,0,0,2,0,1,1,0,1,0,2,1,2,1,0,0,0,4,2,0,2,1,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1,1,3,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,1,2,0,2,2,0,1,1,0,1,0,1,0,1,2,0,0,0,0,1,1,0,3,1,0,3,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,2,0,0,2,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,2,0,4,0,0,1,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"cytotoxic",60,20,21,15,17,6,15,10,8,13,29,7,6,8,6,9,19,10,3,9,5,6,3,2,8,14,7,5,8,3,12,7,3,4,6,4,6,5,6,4,5,6,7,4,2,2,6,7,3,2,3,7,5,6,4,5,7,4,5,2,2,7,8,1,3,2,6,2,4,2,7,3,3,0,0,0,16,4,3,2,2,6,1,0,5,3,7,2,1,5,6,7,3,3,1,1,3,1,2,0,2,3,7,4,0,6,2,1,1,1,2,1,1,1,0,2,1,0,0,1,1,1,1,1,5,0,7,1,1,5,2,1,2,0,1,2,1,2,0,0,2,0,2,3,1,2,3,4,0,1,2,3,1,1,2,2,2,1,2,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,1,0,1,0,1,0,0,1,0,1,1,1,1,0,7,0,0,1,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,2,1,5,0,1,1,0,0,1,0,4,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,1,1,1,1,1,0,1,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,2,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"cytotoxic",68,67,62,65,67,54,59,51,43,44,56,45,39,42,49,40,31,40,31,35,35,38,55,34,51,38,36,34,30,36,40,18,29,30,28,35,36,32,32,27,32,23,24,23,19,21,25,30,23,28,23,37,27,34,18,16,25,27,17,30,18,21,22,20,19,18,23,12,19,15,20,11,9,13,17,21,17,19,18,19,20,10,14,18,14,14,15,10,14,13,12,9,12,7,6,11,16,9,10,17,9,3,7,7,13,6,6,7,6,3,10,8,8,7,8,12,5,4,8,7,9,6,8,4,13,8,15,9,8,8,5,5,3,5,2,5,3,7,4,0,9,5,8,2,5,6,5,4,1,3,8,3,4,5,6,4,3,6,2,5,4,4,3,1,5,8,5,3,2,1,2,1,0,1,3,5,0,3,3,2,2,2,1,4,2,2,4,2,6,9,7,5,3,5,5,0,0,2,7,0,0,1,2,2,2,1,3,1,4,3,2,2,2,3,2,3,5,1,2,5,4,3,2,2,4,1,4,3,0,1,2,3,0,2,4,0,2,1,2,2,5,2,1,1,2,6,2,1,3,5,3,3,2,2,8,0,3,2,4,0,3,5,1,1,2,2,2,0,2,1,3,0,4,1,0,2,1,1,1,4,2,4,2,3,0,1,0,3,0,2,2,0,1,0,4,0,3,1,6,2,0,0,1,2,4,0,2,0,1,5,0,1,3,1,1,2,2,0,2,0,0,0,0,1,2,3,1,5,0,0,0,1,1,0,0,0,3,0,1,0,0,2,1,3,1,0,0,0,4,1,1,0,5,0,1,0,0,0,2,0,4,0,0,0,2,0,0,1,0,2,1,1,2,0,1,0,6,2,1,1,0,1,1,1,2,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,3,1,1,0,0,0,2,0,0,1,3,1,4,1,2,3,4,4,1,2,0,1,2,0,0,3,1,0,0,2,0,2,1,0,6,1,1,0,1,1,3,0,1,0,2,0,2,1,1,3,1,1,1,2,3,2,2,1,1,1,0,0,1,0,1,3,1,1,2,2,0,1,1,2,0,1,4,2,0,1,0,1,2,0,0,1,2,1,2,0,2,0,1,1,0,0,1,1,0,0
"cytotoxic",54,10,14,20,29,16,10,16,6,18,35,11,11,10,13,12,21,12,7,10,9,8,10,8,7,5,9,8,6,4,13,4,6,5,3,10,6,4,3,5,9,4,8,4,9,6,2,12,8,6,1,4,4,5,8,7,14,1,5,5,5,8,8,5,5,7,2,2,1,5,12,3,3,2,1,0,5,3,5,3,2,3,5,3,10,4,1,0,3,2,0,4,2,2,4,3,1,3,2,0,2,1,3,0,1,0,2,4,1,2,3,1,3,6,1,2,0,0,5,5,1,2,1,4,2,0,15,3,4,0,4,2,0,2,2,5,2,0,1,0,5,3,4,3,1,1,0,1,0,1,2,1,0,0,3,1,1,1,0,0,0,0,1,0,1,0,1,1,1,4,0,0,0,1,2,1,0,0,1,1,1,1,0,0,0,0,2,1,0,7,0,0,1,1,0,0,0,1,1,0,0,0,2,4,1,3,1,0,0,0,1,0,0,2,3,1,1,0,0,7,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,1,0,0,1,1,0,1,0,1,0,0,2,1,4,0,1,0,0,0,2,0,1,0,1,2,1,0,0,0,2,1,1,0,1,1,1,2,2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,1,0,0,0,1,1,0,0,1,2,0,0,0,2,1,0,0,0,0,1,0,2,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"cytotoxic",21,9,2,14,10,6,8,10,6,7,11,9,15,4,4,3,12,6,6,5,7,7,8,6,3,10,4,12,3,4,5,2,6,7,2,7,0,2,7,3,5,4,2,5,6,1,0,3,3,4,4,2,3,1,3,2,4,1,6,3,3,6,1,2,1,1,1,1,2,1,2,3,0,4,2,0,6,3,2,1,2,0,3,2,3,0,4,0,4,2,0,2,2,0,0,4,2,1,5,0,3,2,2,1,1,1,0,3,1,0,0,1,0,2,0,0,0,0,1,1,0,3,3,0,0,0,7,2,1,0,0,0,1,0,0,1,2,0,1,0,1,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,7,1,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,6,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,3,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cytotoxic",55,42,33,30,33,28,25,27,29,33,33,25,22,19,25,27,17,17,16,16,19,15,17,13,21,19,20,19,22,21,14,4,20,9,9,11,9,17,13,11,18,15,15,16,10,6,10,11,10,12,15,14,18,11,15,7,8,10,13,8,21,13,5,8,8,4,17,8,6,8,9,1,12,1,15,5,10,4,7,9,5,10,5,6,4,5,7,11,11,3,10,5,9,7,5,5,3,5,11,6,4,0,2,8,3,2,2,4,2,4,3,4,4,1,4,3,5,4,2,2,2,1,3,1,0,3,0,2,3,2,1,1,1,3,0,6,2,0,1,1,0,2,0,0,2,3,3,0,1,4,1,1,2,1,1,2,2,0,2,1,1,0,2,2,0,4,1,2,1,1,2,2,3,0,1,0,0,0,0,0,0,0,3,3,0,1,2,1,2,0,1,2,3,3,1,1,3,3,1,0,4,0,6,0,1,1,1,0,1,3,1,1,1,1,1,2,1,1,1,0,1,2,1,1,0,1,0,1,5,1,2,0,2,1,1,0,0,0,2,3,1,0,0,0,0,1,1,1,2,1,1,0,0,3,2,1,1,0,1,0,0,1,2,0,1,0,0,2,1,4,0,0,2,4,0,1,1,1,1,0,0,0,2,1,1,1,0,0,2,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,1,2,1,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,1,2,1,3,1,0,0,0,1,1,0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
