USD,AFN,ALL,DZD,ADF,ADP,AOA,AON,ARS,AMD,AWG,AUD,ATS,AZM,AZN,BSD,BHD,BDT,BBD,BYR,BEF,BZD,BMD,BTN,BOB,BAM,BWP,BRL,GBP,BND,BGN,BIF,XOF,XAF,XPF,KHR,CAD,CVE,KYD,CLP,CNY,COP,KMF,CDF,CRC,HRK,CUC,CUP,CYP,CZK,DKK,DJF,DOP,NLG,XEU,XCD,ECS,EGP,SVC,EEK,ETB,EUR,FKP,FJD,FIM,FRF,GMD,GEL,DEM,GHC,GHS,GIP,XAU,GRD,GTQ,GNF,GYD,HTG,HNL,HKD,HUF,ISK,INR,IDR,IRR,IQD,IEP,ILS,ITL,JMD,JPY,JOD,KZT,KES,KWD,KGS,LAK,LVL,LBP,LSL,LRD,LYD,LTL,LUF,MOP,MKD,MGA,MGF,MWK,MYR,MVR,MTL,MRO,MUR,MXN,MDL,MNT,MAD,MZM,MZN,MMK,ANG,NAD,NPR,NZD,NIO,NGN,KPW,NOK,OMR,PKR,XPD,PAB,PGK,PYG,PEN,PHP,XPT,PLN,PTE,QAR,ROL,RON,RUB,RWF,WST,STD,SAR,RSD,SCR,SLL,XAG,SGD,SKK,SIT,SBD,SOS,ZAR,KRW,ESP,LKR,SHP,SDD,SDP,SDG,SRD,SRG,SZL,SEK,CHF,SYP,TWD,TZS,THB,TOP,TTD,TND,TRL,TRY,TMM,UGX,UAH,UYU,AED,VUV,VEB,VND,YER,YUN,ZMK,ZWD
1,77.123562,104.305093,128.478332,5.528969,140.24441,654.378072,654.378072,80.309926,492.925312,1.8,1.368398,11.598362,8500,1.7,1,0.37688,84.760082,2,25510.637578,34.001932,2.015618,1,74.109202,6.88919,1.648542,11.066556,5.399412,0.750006,1.34271,1.648542,1939.374574,552.896896,552.896896,100.583006,4061.030934,1.307338,92.940812,0.833333,766.929137,6.572755,3636.162618,414.672672,1966.144097,608.71743,6.375699,1,25,0.49332,22.18526,6.276438,177.71,57.322402,1.857476,0.842886,2.7,24840.5,15.625104,8.75,13.188298,38.094029,0.842886,0.750006,2.088248,5.011572,5.528969,51.766178,3.315,1.648542,58308.521044,5.830852,0.750006,0.000538,287.213366,7.786885,9805.879728,209.140462,64.19138,24.477145,7.752272,303.853101,135.72864,74.109202,14172.909318,42105,1192.439877,0.663826,3.343932,1632.054652,147.339784,104.017788,0.709,426.519417,109.557058,0.305778,84.796843,9280.1335,0.592384,1507.5,15.376786,177.735898,1.354976,2.910316,34.001932,7.98484,51.874382,3923.196988,9150.23,760.320598,4.09058,15.380962,0.361851,371.380523,39.902742,20.070032,17.178742,2623.5,9.115966,73870,73.87,1307.057694,1.79,15.376786,118.554696,1.440692,34.850155,381.076002,135,9.009576,0.384848,160.761176,0.000428,1,3.515368,7036.612102,3.593013,48.24902,0.001063,3.76815,168.983448,3.641008,41082.706248,4.10827,76.095532,988.071535,2.571544,20776.221095,3.75039,99.129752,20.792082,10129.376454,0.041758,1.34271,25.39278,201.989174,8.050064,580.726811,15.376786,1113.240058,140.24441,185.30078,0.750006,5533.75,2266.65,55.3375,14.154,14154,15.376786,8.613654,0.910832,512.948,28.533548,2319.164382,30.310764,2.292856,6.788004,2.737308,7786908.895556,7.786909,17517.371242,3705.034239,28.37889,42.746279,3.672985,113.14,71610486145622.3,23178.634662,250.37867,99.129752,5252.55,374.8
1,77.202757,104.35631,128.421192,5.527495,140.207025,653.203994,653.203994,80.474148,495.192218,1.8,1.362878,11.59527,8500,1.7,1,0.377046,84.908367,2,25598.257866,33.992868,2.018678,1,74.004284,6.906286,1.648102,11.081832,5.414076,0.749432,1.342954,1.648102,1943.355981,552.749506,552.749506,100.556192,4060.239816,1.303698,92.916036,0.833333,773.54422,6.585816,3643.354597,414.56213,1967.922743,607.751202,6.372326,1,25,0.493188,22.103269,6.272242,177.71,57.410166,1.85698,0.842661,2.7,24840.5,15.652064,8.75,13.184782,38.076695,0.842661,0.749432,2.093356,5.010236,5.527495,51.772158,3.313347,1.648102,58410.156442,5.841016,0.749432,0.000551,287.136801,7.80044,9830.262232,209.4526,64.328012,24.38738,7.751597,304.081078,135.631542,74.004284,14193.218324,42105,1193.687719,0.66365,3.341272,1631.619584,147.500552,104.500891,0.709,426.033406,109.71999,0.305936,84.792945,9289.378062,0.592226,1507.5,15.315692,178.036017,1.357548,2.909541,33.992868,7.984144,51.907558,3929.982834,9150.23,762.589008,4.089287,15.401794,0.361754,371.117766,39.925744,20.059194,17.192734,2623.5,9.120054,73949.767926,73.949768,1309.744416,1.79,15.315692,118.636886,1.434004,34.937728,381.067794,135,8.972142,0.384964,160.77272,0.000426,1,3.519609,7043.204953,3.609294,48.19918,0.001062,3.763801,168.938401,3.645443,41059.698337,4.10597,75.813298,990.39192,2.572261,20809.799082,3.750365,99.061277,20.803427,10238.958138,0.04291,1.342954,25.386011,201.935328,8.017005,580.603436,15.315692,1110.8066,140.207025,185.731074,0.749432,5532.91522,2266.65,55.329152,14.154,14154,15.315692,8.589309,0.911986,512.948,28.507599,2319.177351,30.365902,2.294952,6.79752,2.735364,7948959.790944,7.94896,17501.611685,3709.143422,28.454322,42.882712,3.673136,113.14,74544155745956.6,23158.206602,250.373788,99.061277,5252.55,374.8
1,77.041524,104.049815,128.376797,5.509597,139.753032,653.089716,653.089716,80.732886,496.804664,1.8,1.359857,11.557725,8500,1.7,1,0.37703,84.78159,2,25574.75447,33.882798,2.015506,1,73.842788,6.896369,1.642766,11.064749,5.352884,0.748424,1.341448,1.642766,1936.823291,550.959692,550.959692,100.23059,4050.746596,1.300549,92.615172,0.833333,770.781296,6.579596,3628.151402,413.219768,1968.821296,605.933988,6.350235,1,25,0.49159,21.967185,6.251256,177.71,58.143079,1.850968,0.839932,2.7,24840.5,15.660228,8.75,13.14209,38.051439,0.839932,0.748424,2.081224,4.994012,5.509597,51.776588,3.310451,1.642766,58326.324926,5.832632,0.748424,0.000553,286.207046,7.788624,9802.699729,209.14984,64.80757,24.339618,7.75116,303.143726,135.148406,73.842788,14154.169048,42105,1191.62749,0.6615,3.325818,1626.336364,147.144377,104.438413,0.709,423.913193,109.839028,0.305544,84.795722,9282.137064,0.590308,1507.5,15.197208,169.299662,1.35589,2.90012,33.882798,7.983696,51.813532,3919.329034,9150.23,762.656384,4.087274,15.41179,0.360583,370.9507,39.966332,20.019726,17.184284,2623.5,9.096502,74011.73148,74.011731,1307.124304,1.79,15.197208,118.335962,1.430998,34.820868,380.67175,135,8.866989,0.385005,159.606207,0.000428,1,3.513247,7032.581094,3.60313,48.10899,0.001038,3.750658,168.391374,3.641019,40922.864696,4.092286,75.581476,986.232228,2.562052,20738.365578,3.750518,98.740636,20.813246,10322.782061,0.042848,1.341448,25.30381,201.281457,8.031364,580.352598,15.197208,1106.827952,139.753032,185.556448,0.748424,5531.963814,2266.65,55.319638,14.154,14154,15.197208,8.521808,0.910241,512.948,28.497894,2318.970648,30.326104,2.286371,6.786862,2.731998,7964430.546246,7.964431,17509.134835,3701.3128,28.408332,42.687282,3.673066,113.14,74545803605008.5,23161.286173,250.367022,98.740636,5252.55,374.8
1,77.038154,103.971156,128.460068,5.505243,139.642592,652.135194,652.135194,80.834788,495.357812,1.8,1.358246,11.548592,8500,1.7,1,0.377066,84.732255,2,25625.913002,33.856022,2.014144,1,73.764644,6.89061,1.641468,11.047276,5.325978,0.748284,1.338658,1.641468,1934.303858,550.524298,550.524298,100.151382,4051.693962,1.30079,92.541983,0.833333,765.415178,6.573422,3617.84624,412.893224,1970,603.61661,6.342222,1,25,0.491202,21.941954,6.246439,177.71,58.136532,1.849506,0.839269,2.7,24840.5,15.655674,8.75,13.131704,38.124482,0.839269,0.748284,2.076533,4.990066,5.505243,51.781494,3.31,1.641468,58448.943386,5.844894,0.748284,0.000552,285.980872,7.78638,9809.332722,209.121604,65.19917,24.298068,7.750895,302.975097,135.021943,73.764644,14132.74295,42105,1192.364292,0.660978,3.320376,1625.051158,147.05827,104.282058,0.709,423.422802,109.910967,0.305638,84.799426,9278.009402,0.589842,1507.5,15.177082,157.161532,1.354463,2.897828,33.856022,7.983422,51.770086,3913.011865,9150.23,761.252604,4.072492,15.411087,0.360298,370.80115,39.878984,20.013628,17.201228,2623.5,9.0902,74084.325784,74.084326,1307.243148,1.79,15.177082,118.193142,1.428104,34.787027,381.268605,135,8.859708,0.384989,159.099133,0.000422,1,3.512379,7034.867878,3.60039,48.095366,0.001035,3.752836,168.258304,3.641208,40896.423994,4.089642,75.625792,986.451716,2.557283,20575.624372,3.75056,98.672971,20.812112,10085,0.04281,1.338658,25.283814,201.122395,8.02131,580.678461,15.177082,1106.315304,139.642592,185.184926,0.748284,5532.299605,2266.65,55.322996,14.154,14154,15.177082,8.517284,0.907346,512.948,28.506745,2319.042388,30.302959,2.286294,6.78189,2.728018,7904356.87907,7.904356,17526.732766,3696.789264,28.421134,42.595306,3.673138,113.14,74545803605008.5,23160.630114,250.358088,98.672971,5252.55,374.8
1,77.087045,103.864371,128.780511,5.495714,139.400884,648.781552,648.781552,80.959395,494.541743,1.8,1.355304,11.528602,8500,1.7,1,0.377036,84.749939,2,25777.456378,33.797422,2.014618,1,73.866908,6.895167,1.638626,11.031084,5.340323,0.749663,1.338186,1.638626,1938.285026,549.571395,549.571395,99.97803,4052.875219,1.29979,92.381802,0.833333,766.942316,6.578191,3614.703068,412.178546,1970.370312,601.389088,6.330738,1,25,0.490352,21.927834,6.235302,177.71,58.163883,1.846304,0.837816,2.7,24840.5,15.63935,8.75,13.108974,38.101693,0.837816,0.749663,2.078251,4.981429,5.495714,51.78051,3.311506,1.638626,58483.926255,5.848392,0.749663,0.000556,285.485867,7.799648,9815.631198,209.248435,65.747408,24.252439,7.750766,302.839373,133.774195,73.866908,14122.943124,42090.709226,1192.345324,0.659834,3.31795,1622.238356,146.896018,104.059706,0.709,424.022576,110.00561,0.305596,84.798653,9271.687538,0.58882,1507.5,15.227523,157.15332,1.352164,2.892812,33.797422,7.983288,51.710695,3887.382975,9150.23,762.711508,4.071493,15.408772,0.359674,374.015272,39.871704,20.033142,17.21309,2623.5,9.084479,74148.131942,74.148132,1314.008996,1.79,15.227523,118.205886,1.42411,34.83962,380.862216,135,8.85197,0.38499,159.251836,0.000416,1,3.515631,7044.19691,3.601866,48.13072,0.001038,3.755262,167.967066,3.640892,40834.124664,4.083412,75.913522,987.23847,2.558262,20646.31848,3.750585,98.509112,20.8066,10066.419711,0.043526,1.338186,25.24005,200.774272,8.017102,580.342503,15.227523,1104.77252,139.400884,185.146232,0.749663,5531.472434,2266.65,55.314724,14.154,14154,15.227523,8.512565,0.905892,512.939394,28.522659,2318.631076,30.2927,2.285917,6.781107,2.724547,7835121.041714,7.835121,17521.183808,3698.49924,28.49577,42.615232,3.673083,113.14,80741652816930.8,23161.95884,250.341962,98.509112,5252.55,374.8
1,77.12315,103.625,128.9825,5.483008,139.078612,652.645,652.645,81.06106,494.915,1.8,1.353968,11.50195,8500,1.7,1,0.377029,84.77359,2,25886.72409,33.719288,2.015234,1,73.889,6.900791,1.634838,11.033448,5.344225,0.751157,1.338375,1.634838,1941.75,548.300876,548.300876,99.746898,4050.925,1.29905,92.16823,0.833333,768.675,6.577,3606.5175,411.225657,1971,602.31119,6.31675,1,25,0.489218,21.88635,6.2205,177.71,58.2225,1.842036,0.83588,2.7,24840.5,15.638075,8.75,13.078669,37.850675,0.83588,0.751157,2.08272,4.969913,5.483008,51.7725,3.315,1.634838,58450,5.845,0.751157,0.00056,284.82587,7.80869,9800.975,209.286152,65.767667,24.2592,7.750675,302.3145,132.91,73.889,14108.05,42105,1191.4,0.658308,3.315265,1618.488006,146.675228,104.111,0.709,424.529428,110.05625,0.3055,84.7984,9278.3,0.587459,1507.5,15.259625,157.1665,1.3512,2.886124,33.719288,7.983196,51.699024,3848.6,9150.23,764.4975,4.0695,15.405,0.358842,377.132,39.85,20.03253,17.20537,2623.5,9.07285,74160,74.16,1314.677298,1.79,15.259625,118.342611,1.423186,34.85475,380.7475,135,8.83271,0.384976,159.35,0.000412,1,3.520582,7046.482696,3.602925,48.14675,0.001038,3.747255,167.578753,3.640425,40744,4.0744,76.03165,986.7475,2.55826,20822.475,3.75062,98.28495,20.80985,10012.5,0.044062,1.338375,25.1817,200.310114,8.002048,580.6,15.259625,1105.0925,139.078612,185.297676,0.751157,5530.34,2266.65,55.3034,14.154,14154,15.259625,8.49854,0.90479,512.936,28.5188,2318.972,30.28,2.285442,6.782805,2.72595,7836985,7.836985,17504.525,3699.938355,28.528382,42.634458,3.6731,113.14,97296388312500,23161.5,250.2975,98.28495,5252.55,374.8
1,77.12387,103.625,128.9825,5.482888,139.075566,652.645,652.645,81.054086,494.837292,1.8,1.353854,11.501698,8500,1.7,1,0.377029,84.77359,2,25886.72409,33.718548,2.015234,1,73.889,6.900791,1.634802,11.0334,5.344225,0.751084,1.338344,1.634802,1941.75,548.288866,548.288866,99.744712,4050.925,1.299002,92.166212,0.833333,768.675,6.577,3606.5175,411.216649,1971,602.31119,6.31675,1,25,0.489208,21.88656,6.220405,177.71,58.2225,1.841995,0.835861,2.7,24840.5,15.637916,8.75,13.078382,37.850675,0.835861,0.751084,2.08271,4.969804,5.482888,51.7725,3.315,1.634802,58450,5.845,0.751084,0.00056,284.819631,7.808617,9800.975,209.28573,65.767667,24.2592,7.750682,302.308725,132.91,73.889,14108.05,42105,1191.408183,0.658294,3.315265,1618.452554,146.675228,104.107824,0.709,424.529428,110.05625,0.3055,84.7984,9278.3,0.587446,1507.5,15.25959,157.165866,1.3512,2.88606,33.718548,7.983203,51.699126,3848.6,9150.23,764.4975,4.0695,15.405,0.358835,376.905434,39.85,20.033596,17.20537,2623.5,9.07285,74160,74.16,1314.677298,1.79,15.25959,118.342611,1.423018,34.85475,380.7475,135,8.832927,0.384976,159.35,0.000412,1,3.520593,7046.482696,3.602939,48.152792,0.001038,3.747494,167.575082,3.640425,40744,4.0744,76.032423,986.7475,2.55826,20822.475,3.750622,98.28495,20.80985,10012.5,0.044063,1.338344,25.181148,200.305727,8.002048,580.6,15.25959,1105.0925,139.075566,185.297676,0.751084,5530.341988,2266.65,55.30342,14.154,14154,15.25959,8.499507,0.90475,512.936,28.5188,2318.972,30.28109,2.285436,6.782805,2.72595,7837672.04073,7.837672,17504.551448,3699.938355,28.528382,42.634458,3.6731,113.14,97296389362382.9,23161.5,250.2975,98.28495,5252.55,374.8
1,76.976547,103.632625,129.033467,5.482328,139.061343,653.485644,653.485644,81.028758,495.578303,1.8,1.356196,11.500522,8500,1.7,1,0.37695,84.680764,2,25851.897828,33.7151,2.012951,1,73.955468,6.890498,1.634635,11.02714,5.343163,0.749634,1.338333,1.634635,1936.395288,548.232792,548.232792,99.734512,4042.596849,1.297756,92.156786,0.833333,766.88226,6.580076,3600.637588,411.174594,1970.677489,601.852106,6.315468,1,25,0.489158,21.913206,6.220222,177.71,58.08461,1.841807,0.835776,2.7,24840.5,15.655796,8.75,13.077045,37.908408,0.835776,0.749634,2.07588,4.969296,5.482328,51.775799,3.319925,1.634635,58507.487344,5.850748,0.749634,0.000563,284.790502,7.798095,9807.080863,209.168894,65.816728,24.227236,7.7514,300.958364,132.833294,73.955468,14144.34864,42098.257993,1191.574009,0.658226,3.310126,1618.287034,146.53524,104.123596,0.709,424.877754,110.068762,0.305601,84.797715,9262.503177,0.587386,1507.5,15.341089,157.192096,1.350781,2.885766,33.7151,7.983942,51.508318,3868.495848,9150.23,762.656057,4.072011,15.39502,0.358798,377.0252,39.846052,20.099947,17.216536,2623.5,9.072572,74187.473954,74.187474,1311.106464,1.79,15.341089,118.194536,1.422518,34.806256,380.66883,135,8.846061,0.384878,159.229198,0.000416,1,3.512348,7036.869886,3.600254,48.136284,0.001034,3.744108,167.557944,3.636561,40730.444631,4.073044,76.198282,986.730268,2.554682,20631.456808,3.750626,98.277026,20.803009,10014.602286,0.044771,1.338333,25.178573,200.285242,8.016923,580.300977,15.341089,1106.912736,139.061343,185.459159,0.749634,5530.726564,2266.65,55.307266,14.154,14154,15.341089,8.512346,0.904774,512.936,28.547495,2315.916118,30.277436,2.284012,6.777873,2.72498,7820145.35988,7.820146,17412.470888,3697.572602,28.490996,42.582854,3.673126,113.14,99155706972594.9,23146.916086,250.309,98.277026,5252.55,374.8
1,77.05899,103.439825,128.89292,5.467896,138.69529,654.817,654.817,81.355386,493.814722,1.8,1.358422,11.470249,8500,1.7,1,0.377049,84.815983,2,25926.496666,33.626352,2.016151,1,73.62017,6.90103,1.630332,11.050916,5.290819,0.747527,1.339153,1.630332,1944.5238,546.789669,546.789669,99.471978,4049.526756,1.296022,91.9142,0.833333,761.311052,6.5735,3576.51543,410.092252,1970.299479,602.990798,6.296577,1,25,0.48787,21.883436,6.204737,177.71,58.245438,1.836959,0.833576,2.7,24840.5,15.66028,8.75,13.042622,38.206084,0.833576,0.747527,2.069559,4.956214,5.467896,51.780714,3.331298,1.630332,58675.656428,5.867566,0.747527,0.000556,284.040844,7.811699,9851.123186,209.530134,66.03609,24.262782,7.752144,297.94446,132.079028,73.62017,14161.428924,42096.111404,1191.944892,0.656494,3.298515,1614.027188,146.703162,104.360484,0.709,426.05624,110.1788,0.305146,84.798702,9270.962212,0.58584,1507.5,15.330178,157.303016,1.353572,2.87817,33.626352,7.984709,51.494462,3849.765964,9150.23,765.530498,4.078934,15.403382,0.357854,372.159978,39.875386,20.082718,17.238526,2623.5,9.077949,74232.460934,74.232461,1315.04164,1.79,15.330178,118.216472,1.419548,34.856231,380.942284,135,8.846146,0.384999,159.623995,0.000415,1,3.518544,7046.058324,3.609454,48.092911,0.001012,3.723421,167.116878,3.640963,40620.182043,4.062018,76.044778,990.150186,2.554964,20558.925743,3.750682,98.00496,20.812566,10018.728154,0.042804,1.339153,25.112294,199.758027,8.059322,580.64406,15.330178,1107.264172,138.69529,186.084232,0.747527,5530.49733,2266.65,55.304974,14.154,14154,15.330178,8.525842,0.904284,512.941464,28.539383,2320.4165,30.257853,2.28477,6.792236,2.725508,7843139.03197,7.843139,17399.464496,3704.603092,28.582758,42.687024,3.673144,113.14,104793831827642,23134.616942,250.334784,98.00496,5252.55,374.8
1,76.88365,102.63267,129.089416,5.43037,137.743408,654.817,654.817,81.454083,494.512565,1.8,1.354278,11.391528,8500,1.7,1,0.377,84.613284,2,25815.79041,33.39557,2.011392,1,73.648402,6.884084,1.619142,11.033764,5.218641,0.747795,1.338682,1.619142,1939.119599,543.036992,543.036992,98.789292,4045.478274,1.293532,91.283382,0.833333,757.661952,6.562858,3540.616047,407.277744,1970.884665,601.44666,6.252603,1,25,0.484522,21.807874,6.162416,177.71,58.132316,1.824352,0.827854,2.7,24840.5,15.663211,8.75,12.953109,38.05572,0.827854,0.747795,2.069004,4.9222,5.43037,51.77404,3.324049,1.619142,58460.233081,5.846024,0.747795,0.000549,282.09144,7.794724,9813.827752,209.048494,66.160272,24.197326,7.752192,296.221872,129.648428,73.648402,14174.70074,42094.665994,1191.137095,0.651988,3.288396,1602.949943,146.054806,104.502546,0.709,424.55381,110.474694,0.304774,84.799453,9261.905929,0.58182,1507.5,15.315242,157.415721,1.349222,2.858416,33.39557,7.984758,51.225476,3846.389208,9150.23,764.60523,4.075415,15.402552,0.355398,372.222182,39.851587,20.050675,17.192124,2623.5,9.030576,74255.912615,74.255913,1314.830328,1.79,15.315242,117.788647,1.416393,34.771574,380.112442,135,8.822794,0.384996,159.636158,0.000414,1,3.511856,7024.37216,3.601342,48.043664,0.000993,3.696958,165.969937,3.640986,40329.086452,4.032908,75.551018,986.37184,2.550588,20442.161687,3.750818,97.331236,21.017954,10015.786892,0.041798,1.338682,24.939946,198.387066,8.049202,580.373805,15.315242,1102.167562,137.743408,185.57679,0.747795,5529.322624,2266.65,55.293226,14.154,14154,15.315242,8.492551,0.89783,512.942799,28.507094,2317.908663,30.226582,2.283224,6.777013,2.711982,7839995.942406,7.839996,17404.287314,3689.320504,28.401182,42.43733,3.673156,113.14,103879502258129,23131.3434,250.319285,97.331236,5252.55,374.8
