AAPL,NFLX,AMZN,MMM,K,O,NSRGY,LDSVF,JPM,JNJ,TSLA,V,PFE
9.665921,22.245714,164.639999,66.583778,35.790707,21.309723,40.262997,2262.300049,27.924717,46.707191,4.108,17.964668,11.31108
9.766039,21.857143,163.559998,66.972198,35.805004,21.59911,40.366402,2262.300049,28.713978,46.920269,4.046,18.140615,11.342938
9.504692,21.332857,158.669998,66.143082,35.662067,21.469809,39.443111,2262.300049,28.330624,46.501472,4.01,17.953096,11.081671
9.536628,21.878571,158.669998,66.830254,35.747837,21.950062,40.10788,2262.300049,28.638809,46.729233,4.13,18.409163,11.253723
9.505616,24.67,164.970001,67.636978,35.554855,21.894646,40.787434,2262.300049,28.338133,47.015789,4.15,18.335072,11.234609
9.442654,24.014286,169.130005,67.554817,35.411926,21.851543,39.790276,2262.300049,28.338133,46.88353,4.144,18.355913,11.151769
9.484726,23.834286,169,67.898407,35.426216,21.851543,40.462425,2262.300049,27.86459,47.00843,4.17,18.666126,11.228236
9.460468,25.374287,169.949997,67.577225,35.204674,21.648373,40.026634,2262.300049,27.962305,46.905571,4.272,18.527224,11.145394
9.45371,25.5,167.509995,67.502533,35.076031,21.636049,39.753342,2262.300049,28.217878,46.707191,4.2,18.501757,11.011573
9.374169,25.1,166.839996,63.543648,35.290436,21.279932,40.29253,2262.300049,28.195324,46.699841,4.238,17.698437,11.196376
9.24334,24.795713,165.229996,62.908749,35.919338,21.19339,40.514133,2262.300049,28.285522,46.832088,4.368,18.094309,11.100788
9.341616,23.91,162.580002,62.729469,36.269539,21.298489,40.18174,2262.300049,28.127665,46.795361,4.282,17.899843,11.228236
9.500696,24.515715,164.610001,63.341988,35.511986,21.168665,40.949924,2262.300049,27.781906,46.934967,4.25,18.154501,11.119905
9.606341,24.494286,168.470001,63.715458,35.426216,21.211935,41.481743,2262.300049,28.353172,47.162724,4.354,18.288774,11.209121
9.774334,23.974285,168.929993,65.015152,35.240414,21.718893,42.87038,2262.300049,29.916672,47.581524,4.98,18.517963,11.189802
9.739319,24.014286,170.770004,64.492271,35.247555,21.774534,43.025494,2262.300049,30.773569,47.500706,4.888,18.473976,11.061039
9.785081,24.161428,171.990005,64.133751,35.247555,21.67561,42.597084,2262.300049,30.450344,47.265591,4.996,18.221638,10.97734
9.707076,24.351429,170.270004,63.715458,34.975979,21.137747,42.065266,2262.300049,29.991825,47.250904,4.926,18.13135,10.938711
9.766962,25.267143,173.330002,64.425072,34.933102,21.088289,41.858444,2262.300049,30.533028,46.986389,5.872,18.355913,10.835695
9.724583,25.02,170.369995,64.611794,35.197525,21.045012,41.570381,2262.300049,30.082029,46.964344,5.608,18.339703,10.932274
